grupo,n_puntos,poblacion,tiempo_medio_ponderado_min,tiempo_medio_simple_min,tiempo_mediana_min
Urbano,215,1153695.0,30.1769138058589,100.56882063835283,58.745911127112905
Rural,4785,622516.0,120.59373679359508,113.86756380845846,72.55287557701304
