DEP,PROV,DIST,n_puntos,poblacion_total,tiempo_medio_simple_min,tiempo_mediana_min,tiempo_medio_ponderado_min
CUSCO,ACOMAYO,ACOMAYO,34,4578.0,96.95808536498816,98.74028194137517,98.33445637567912
CUSCO,ACOMAYO,ACOPIA,3,1950.0,75.58615970336224,75.62795189780762,75.1508789205584
CUSCO,ACOMAYO,ACOS,25,2911.0,98.2043518653178,97.09664019292768,102.59263816430884
CUSCO,ACOMAYO,MOSOC LLACTA,4,1213.0,68.20573115616787,66.16196029570597,65.53020227681465
CUSCO,ACOMAYO,POMACANCHI,39,3121.0,101.98962699703989,102.62390120465575,105.08292530816945
CUSCO,ACOMAYO,RONDOCAN,23,3664.0,63.400620400396804,63.86369719177725,61.96759749448065
CUSCO,ACOMAYO,SANGARARA,12,6683.0,103.22851720367298,102.71775650176647,103.63151545670216
CUSCO,ANTA,ANCAHUASI,12,5106.0,76.72120821697506,75.6065805236421,78.20510467350546
CUSCO,ANTA,ANTA,23,16571.0,41.69868205634708,41.64666289221139,41.28359608057981
CUSCO,ANTA,CACHIMAYO,11,2225.0,20.274157021222898,19.700888507180597,22.54622539028808
CUSCO,ANTA,CHINCHAYPUJIO,59,3879.0,69.30787911845857,68.3164827910708,65.0591795942093
CUSCO,ANTA,HUAROCONDO,16,6104.0,66.7126003174136,66.23240384376561,58.09809045640592
CUSCO,ANTA,LIMATAMBO,34,6629.0,101.9551696771886,101.80127140324322,100.1141350246322
CUSCO,ANTA,MOLLEPATA,44,900.0,131.20115654205966,130.33181594980857,131.97146082065078
CUSCO,ANTA,PUCYURA,17,511.0,29.55437752042328,29.36913175269498,29.938229666539026
CUSCO,ANTA,ZURITE,8,3862.0,58.83549146464051,58.642183448343886,60.916146093454905
CUSCO,CALCA,CALCA,43,16775.0,59.616381590160685,56.742185169231725,50.961634521028486
CUSCO,CALCA,COYA,14,3534.0,32.90882149620806,32.28268470282434,31.05402911738432
CUSCO,CALCA,LAMAY,38,5173.0,49.83800621030798,46.20197093107869,46.20573673173806
CUSCO,CALCA,LARES,27,5622.0,105.97305112265796,110.46865306608116,105.75709228676845
CUSCO,CALCA,PISAC,17,7112.0,35.781665926929456,34.359882719054276,36.06346723687947
CUSCO,CALCA,SAN SALVADOR,14,3141.0,30.894231105902872,33.0661338193066,28.01138676164853
CUSCO,CALCA,TARAY,9,2837.0,19.865098789711215,20.957467301379374,22.108270853958334
CUSCO,CALCA,YANATILE,60,7292.0,129.77114186463098,129.2262817296014,120.71079825147582
CUSCO,CANAS,CHECCA,12,3396.0,60.54118015885826,61.53777612442997,61.188749001158214
CUSCO,CANAS,KUNTURKANKI,9,3316.0,52.58372586035843,51.67500333590423,59.041662643544974
CUSCO,CANAS,LANGUI,9,2409.0,37.3925825195523,37.97506706704618,37.88504857047564
CUSCO,CANAS,LAYO,19,3973.0,62.81635198378322,60.314728695936076,61.56727004828513
CUSCO,CANAS,PAMPAMARCA,5,1907.0,57.307924615704984,58.7517260178465,57.77860655761554
CUSCO,CANAS,QUEHUE,17,1945.0,61.771776673254514,58.3446427522867,62.8825127940692
CUSCO,CANAS,TUPAC AMARU,9,1050.0,71.3936586234886,71.90254943031427,74.73827092405153
CUSCO,CANAS,YANAOCA,14,5987.0,51.51561467738443,50.235771271657526,49.83369714074162
CUSCO,CANCHIS,CHECACUPE,27,3925.0,65.9177685949829,64.81316359839424,74.37094018743097
CUSCO,CANCHIS,COMBAPATA,9,3274.0,51.37116860985875,49.90706242089811,57.70657713662886
CUSCO,CANCHIS,MARANGANI,10,9291.0,35.63448248103705,33.11452314602208,31.9520723081892
CUSCO,CANCHIS,PITUMARCA,57,4908.0,91.67009892370537,86.75530970752298,80.62517416207723
CUSCO,CANCHIS,SAN PABLO,11,6364.0,25.081700272510236,24.843586265625905,23.97049656936979
CUSCO,CANCHIS,SAN PEDRO,8,3391.0,32.66555381329128,32.68614499337657,33.327650495640555
CUSCO,CANCHIS,SICUANI,58,7155.0,16.315818577683952,13.60690637083507,14.831709444055628
CUSCO,CANCHIS,TINTA,11,4991.0,44.34042704897434,44.69262222348029,47.238108864328034
CUSCO,CHUMBIVILCAS,CAPACMARCA,18,2705.0,96.63052958873384,101.07513869138494,96.76395723857823
CUSCO,CHUMBIVILCAS,CHAMACA,15,5530.0,64.69177493965307,62.09836762727113,63.196298124153564
CUSCO,CHUMBIVILCAS,COLQUEMARCA,18,5370.0,44.836204173940615,41.21074091639705,44.768984161039505
CUSCO,CHUMBIVILCAS,LIVITACA,31,6885.0,92.11851745564726,94.09059833216918,92.18020411956012
CUSCO,CHUMBIVILCAS,LLUSCO,24,3937.0,23.239104177876346,19.98187591026279,24.158666157785095
CUSCO,CHUMBIVILCAS,QUIÐOTA,30,2666.0,35.24899435707409,34.39045142059031,35.78025263056161
CUSCO,CHUMBIVILCAS,SANTO TOMAS,66,9016.0,43.5851643857002,42.41713022910334,35.96892705832458
CUSCO,CHUMBIVILCAS,VELILLE,28,6376.0,50.79017436871017,48.43262884166444,49.08251120283739
CUSCO,CUSCO,CCORCA,13,3379.0,23.36349799463777,21.782616022559903,22.959772197995566
CUSCO,CUSCO,CUSCO,27,104801.0,8.05503712417362,8.2135394602282,2.1805666236566483
CUSCO,CUSCO,POROY,13,2334.0,13.672747464812634,13.687721337870723,13.616925222734395
CUSCO,CUSCO,SAN JERONIMO,16,1202.0,6.693747768665697,5.424138106816921,9.16093741057747
CUSCO,CUSCO,SAN SEBASTIAN,9,55393.0,6.567464292610345,6.89383286789863,0.7748256582646186
CUSCO,CUSCO,SANTIAGO,13,3473.0,12.785110835672729,13.798494934224275,10.758689706049498
CUSCO,CUSCO,SAYLLA,5,1010.0,13.719616666477043,14.519119160752,14.448322936733968
CUSCO,CUSCO,WANCHAQ,1,53122.0,0.6545895592538788,0.6545895592538788,0.6545895592538788
CUSCO,ESPINAR,ALTO PICHIGUA,47,1844.0,36.772982466595884,32.898730577315085,36.05943224838721
CUSCO,ESPINAR,CONDOROMA,49,798.0,140.3409229065769,141.67193422583262,139.1596876812942
CUSCO,ESPINAR,COPORAQUE,70,11135.0,44.46890190665789,42.67146057766692,43.01073168428509
CUSCO,ESPINAR,ESPINAR,104,13917.0,26.643808037499348,22.742650503279375,27.4246642279943
CUSCO,ESPINAR,OCORURO,66,1258.0,88.08915359989534,88.4455583112978,81.26429187144377
CUSCO,ESPINAR,PALLPATA,19,3940.0,65.4529043806459,60.238360194772234,71.02015886310019
CUSCO,ESPINAR,PICHIGUA,39,2561.0,31.486056942232253,32.29931986212618,29.15895969933171
CUSCO,ESPINAR,SUYCKUTAMBO,42,865.0,71.96549806025506,70.2635748657277,70.43938361969496
CUSCO,LA CONVENCION,ECHARATE,143,27412.0,104.79912539848544,89.89039966027475,108.49506551968986
CUSCO,LA CONVENCION,HUAYOPATA,38,4205.0,56.40712018362465,45.122479870590055,46.27627437231052
CUSCO,LA CONVENCION,KIMBIRI,31,7578.0,39.378098200118714,29.846158708909776,31.559996653088746
CUSCO,LA CONVENCION,MARANURA,27,4436.0,19.026705675319278,21.4724941984069,18.7495827539368
CUSCO,LA CONVENCION,OCOBAMBA,31,4203.0,69.49690600975767,73.43801370888305,66.19610833527159
CUSCO,LA CONVENCION,PICHARI,30,7758.0,57.83673376797647,54.158798506786546,40.98500674703251
CUSCO,LA CONVENCION,QUELLOUNO,55,9757.0,94.65500664434995,90.91319825352475,87.15935882854365
CUSCO,LA CONVENCION,SANTA ANA,41,6163.0,12.30602081783193,12.627044840665404,11.32043156753921
CUSCO,LA CONVENCION,SANTA TERESA,64,5733.0,70.96404102635003,66.18931056626644,65.60811614887933
CUSCO,LA CONVENCION,VILCABAMBA,120,7021.0,100.27682363188806,86.17180371832757,109.10063246404705
CUSCO,PARURO,ACCHA,27,3398.0,103.72807627658493,101.98860653590454,102.21991791494281
CUSCO,PARURO,CCAPI,19,1546.0,76.26881755930378,71.33225249787378,79.47561330888763
CUSCO,PARURO,COLCHA,10,2600.0,73.79927401952355,71.76586140609558,74.73063401691617
CUSCO,PARURO,HUANOQUITE,35,4181.0,41.86306164457524,41.29497946987581,40.47934063181126
CUSCO,PARURO,OMACHA,28,4047.0,101.37621146371013,102.22244125368604,101.68212528604604
CUSCO,PARURO,PACCARITAMBO,20,1046.0,51.16750272704999,51.623522416996806,53.30683747892477
CUSCO,PARURO,PARURO,31,3781.0,45.75033402742105,43.84487954348897,48.53204760458367
CUSCO,PARURO,PILLPINTO,12,2045.0,105.01688512758295,105.65586269368622,98.43469213904189
CUSCO,PARURO,YAURISQUE,17,2014.0,27.496529402928594,30.17768049074929,26.400594875899127
CUSCO,PAUCARTAMBO,CAICAY,7,1811.0,44.423217065986584,40.361551193422144,44.185213332466915
