DEP,n_puntos,poblacion_total,tiempo_medio_simple_min,tiempo_mediana_min,tiempo_medio_ponderado_min
CUSCO,2992,734566.0,73.48445803344265,65.38748446888947,46.37846211610257
ICA,692,531187.0,39.65619628611857,29.28832832280711,12.50788716086742
LORETO,1316,510458.0,242.53115729077888,207.3215890956401,135.5144140496482
